Images,Number,Task,Choices,Year,Level
"[""R0lGODlhsAB2AHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAcAAACTAHYAgQAAAAAAAAEAAP///wL/hI+py80Rhpy0zuActLziDIbiSB5bh34lcKKcusbyjLSuJ9v3Rfc+qdsNYMCIkEL8KZeG4C4pct6gzOpM6qKCsCmr18ftaDPh1/ecMx4lY4163UbLE2VL/PE+3ufzOi7mh8Q36LbGA5gntEf4FXi44sjGOFmz2GRZWQJByblZlKaJyfnjOVIaijrKeBrCaorpqooW6wb6KTtI26BLBiuKa/saHPULDOk73FpMA1Ha/PEM3WwyfekZnXqcbXwW7f1drX2Lu0xsOFTMu6DOF+4VyY63PepupZM4dJGOLIvh340vy755lP6xaBQwxcBxnZo4fJdQzEJhwFSU2xUBn8aJ/8SMlatHJ+ILjso8XjGB8Vy8dfzI5aCDRyXJLReVpIPJ6t4LfclomgQE82AlmT17/YQUlAi8mUYrBrMYkigigg2BulOacacdprWcAl0X1dBKBWMvHdX0ICwcrhjPAmEJY2nRri5n5dHIcypDVTV7SRVHsS7Av1Tp9pMjV2/gw3bz2RmZBpzkskFJIRa5NYfjzWo6D7nSV+hgsekumGZz+jOi0KFTktbsGbXsfAP7to6JRCs6zbNjc7YqmtllwkA4p/b8y2DN2yyJmzoOXRJaocuHvwZkvLfpZVCFN8abGbv28aq/Wm58HVL29RlP2rS+ljf74+7Pj46P3bf+8pXatP9mTtZdulFmQnTskYXSLksAqJYepe2nnVKVIfgeevipR55+Ewa3oXf3OQibgchtKE1cNE2DTYKDgedBaRnSVwNOKu4hYYfKXPOMNZPtGOKLqGGl4oxRdHhbThBm5+J8veEUS3dbELmgkUpy9qCI29kYJI1Q2mTQJVbKluSRnWHJIY3eUAjGQXFl5eNu+X1JG5bQBKnBlmnO6WWbRoQJ5x0pcqhgjGS+RR01U3ZWpZ78TfekoI7aJ02f0mF46CNItWKnfYaKmZd6nP5YH0Yo5khnD0m08CmfeoZqKhOnsnloopVyt6CrAUq66HOKTnqppmlG9ambnkpKa6mEVjjUrqr/HlofgY/+OlSwzrJQKagvGWuKrWqlKp+0oX6kbbR9ysppsQ45W+StyiaHq7CMsoDnsSMIEKi4eqJbLW03CfluCALQm9a2X+K7q7vyOpltCQCDBey4BMJa7r4PAdooCQujWUO7IBVS8LQmTpywxQD8izFK+Wa0SDMnGxzyqLCsQPLINmKgcTwqS8tyyNDOi8DFUGyCMxv+qdyxuTuLcLHPLAHQsdDheKNxzkMiy/MBSgdIbdM77qmxh0f7a7WcNAftGAMrO+11qzDH/Cw1TDcNt5IX/Rcu1mTfLeLcte6dVtx4R6g31V/3F7XfMKaNeOL2ns04otUJrjbHfzcudb+K2V/rxuR/T1vy5eZlrnnNrPHtKx4bhH4v552zGnkvJ6A+38aX0k2667BDKPvsIE/3OMWiolo4e6ojGK/uvk/d5Yn+BK9f7i8lD9zxmKp5zPKGo42Q9JhCbxV3zzDvPBjDm2Wb6mcyHTGpl5Eyvlnib81jLlHWbir8f3Jjf/76789///737wDmCfB6lCOgt8gywAIq8HYJ9M0CFtjACBpQgg+E4AQvaEEIVjCDDMRgB0+2DglyUIQfDNYDS0jCFHowOhVE4QpfOELtbNCFMawhDX+mQhvmkIYKKAAAOw==""]",5,"В широкую  U-образную трубку с вертикальными прямыми коленами налиты  неизвестная жидкость плотностью ρ 1 и вода плотностью ρ 2 = 1,0 . 10 3 кг/м 3 (см. рисунок). На  рисунке b = 10 см, h = 24 см, H = 30 см. Плотность жидкости ρ 1 равна","['0,6.103 кг/м3', '0,7.103 кг/м3', '0,8.103 кг/м3', '0,9.103 кг/м3']",2007,A
[],6,"Два автомобиля одинаковой массы m движутся со скоростями v и 2v относительно Земли по одной прямой в  противоположных направлениях. Чему равен модуль импульса второго автомобиля в  системе отсчета, связанной с первым автомобилем?","['3mv', '2mv', 'mv', '0']",2007,A
"[""R0lGODlhVwHqAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAAAAwBRAeIAgwAAAAAAAAUEBAsJCgoICQcGBgkHCAcGBwwKCwYFBQgHBwMDAwsKCgkICAECAwECAwT/EMhJq70406C7/2AojmRpnmiqrp/AseALz3Rt33iud0MQELuNLEgsGo/IJKZgCByKvqFySq1arxdEAuATIRS+J9dnmDS7Qil2zW67Vwrg4RdabAGCLSOwEEwSPgwVUWpvhoeIhgh+AAROIGCCjQsSTgGCDHNqhImdnp9UDQ0TfCALhT8BZQaOUoSFoLGysymnrwMfaINcW1u6la+0wsPEHgQKFI7IHqdAu3MDT79jnMXW18MCCBULlB5z2gADjByOAkDT2Orrswp3FIDLAAV0FQy2AQK4ewAIPgh7LlmAxa6gwSmEcAGLgiuBAG/2ACVQGAVAAl8Vdx3cyLETxBkE/zuKHImEgDMaIUmqXGmjgcIaKVnKnPkmJs2bOBHm3MnTis2eQIOy+Cm0qFERRI8qXTqQqdOnHpJCnUpy0xCpObGa0EqVSEZSlcDq4Io0HUyvQchSvbphIZpqwai9/Qq3bka7c+/idfsibjW5cvMK5ks4sNvCfunqXTzYsONgaq+xFRs519i/xSpb3qGZ2OSwXKy96txVA2lhn0Or9hz3xumqWdtSFt3axusMt0vDSN2Xc47RucX6Hq4bqWzQwY/brmh2N1riv2PLlpFc+PIuX8+m3Q5dZvYxyl3/ziua+1in1dOSL24bfeb17buml9wdJHZqOOaDPs8eZP3d94Ennv950fXnHH/XqdbcCvqtViCCSs2XHHPAlPefdktJmN8vCwqlX4OesXZVhwaSAOIwJ8LkCoknNJjigxFeyGBv+MUno38lMnhjCm8tNOCOQ+WoI4T20fjdgUAOSaRRGia4GouJfEjgUU2qaNVTUjL1IoBXCqnClrKAOSONNaL0nJdRJlnCXaRAaeKZMKL55pJD9egjhnTimZ97eX5pZ5k4qsnjlEwKOgKbd6JGqI0xooaKm3JeICYok/IIC6TGycdnnHVSJwSjnIIaaQhVFmkdpqTCueeokh7p4I+m7iegmYvqCStNqcl6a6enorqZoS3WulKuj+11WLGMIYZXX4xxMNr/sYAh21hizR5LrWDMYqusLstum22AOBFbaYvNucqqaTyRGR6lC5obrKbpXgpsDNwO4msHLgobqbrW7Tpmv+5upaq/o4o7by71pkHrwXP2qZLBDpPrqcK0ZBnxSBCHamlIAe9kcaNhdtjxuesWNe6aHNr7Wr7YnJzmxSambO/CMH9JcqYao5Bdl0jWPOjNMTBsmsyfBuqzzvr2VCqv/c4aZtJBalkxiSPf7DIiV5eVUtWpwpvh1OLei9vAQFOx9L9Ncx001EqWje7R9Gqkcs85G73q13AjLDfFbddNN8FBne3n3m1mvXbea24aC5RqF6w4uwiTZrgnk7shuM6btCo5/9m2ut0U4kN/PnfUQuPsOQaXkyv66Daz3Trow5be6up8f/Lx3SDjPiOpYnd0e6GLQ9q4nJW3UTxuwvdOuO4hSg275rQXTvrzXZ+OuuysN53oz9j/6vaRqaOcOfR9My/q+TMRFP6h4CN/vKSucx8uut1GG+21hVNXbWDOKoZt/9za318GKED/6U9b9qsfAQOIwAUeUHnq4FjwpDI8L70PLeWaIPxQB0FdmU9RWeGXBzu3FbNwTDMso95UMvZB8W2Qg+UDnN1kCJu0dQ9QJWtTDNFHsxY+bF3r4528kLe4+CHNYyO8YO2EaL0Rpm+IlLtXBaP3OOD5jYkvJN8Rb4ivJv9eT4Xby6H0tgjGqHgxizSkl/rwBcEUXnGHgeueu7bWRs71MI1IBOMUoYU1I74Lb53YYxiBpkSf2C4ygnwVlqpIQq29bWhqcaMPTxfEqIjMkpG04wzPWEk2StCTZHzj60Q5PxVSDZOU86PAnEdKIvqpkKpMHCuxhsIOroWRxuuMICXZPEBO0pJmROUqufjIM2rvjuwLJiiHWcYuGlOMf3OkM5cpS2KOzZoG6SQHY2ITzNQklg3LneUSmT2r4RIL5Cxn9VZ4zitUjShi4+UzsUlFNXqPjcxs5R/nqc2BMA6Lh9JkNBsJlH6qE42QrGYzi/nLPOozf/dM6CF+x8OCTtT/liqDZWbi6M8CMvBbIIXWsp4lUo8CJ6T8S6BJIWotY91PgQb0FksBo1HOoIJhXEtKBeVJ0H0p8qfI1NvhIkdBgU6PkD816CCvCdChPlShDRWJCIG6SWCuM3KGoGhPMaY9pTrNSjUNqlhrmMSaYNR95gwXSaGJkA/ptDRhpZNBh6cVtfF0rKy6Kdx8xRXhGRWO1psrVvrqprtWFa/pMtROS2g4rTaxn2e1J0viepCspZN9lJ3nQJUQT4lx86+a3axol3hVrX0WnAENbSd7F0kWGXa0nqvkLjc2zYUylZ9JUl5lLjvKqCLVJ5F1YWhjVwXeYq5dw2VH+LwZTond9qnN/zXm+jqoyzWi1nTPXC51mVbPrQKWkjK6rOSgaNsvavZyxuWS2a6LJjClN1bJ3Yh7g8slV8Q3gvVJ78p2Blr5Zbc7zA0l2pzo3d5Klzi1+S5jj1lg/x4YQQF28IChwF4LDue9Ns1sbf+rHvpmWMP8RO6HweZhhN4XZ5cy1rVQelKTArCBKoZps0i6Ymmx2MUytTFhauwY6ZR1QxheHljp2d1z6RWsji1SiQl8WCOb+JVBLrKSJ1Rhp96EvJ0CsSe13F+OWLe+2cwfl8s7i0+OacnPvVWCJXzi0go5Zu0jspDXnE88lohYVBWiCauszIxuV86Bo3Nr58jnDaeBnElucv9ixRewREOBzhGtqKIdqucoi8jStpvlliMsX9Niuo++1NxaI91gAWOS02w96oNFDWmG2pnNmx51qhX8PTGftM6SVjWcZe1oXRe0xa22cq5zudZe01qtwca10oAN6FmrVbXABvGYoYurD0e7iKEetoG1/bpo31rYXvRqdLntYG9f+8mPbTaTYevrQ5u7xV1On7rzXObjvvvb7C4ltS1473enVpxt7nC/gZNmD7Ws0IZu68BlbUXfmrrUD0es+/ytaXLv0+ERn3StySzldkt82xb3zrynvW6Pa1zfAadPtlfezkXv280Qv/irvYLmrI4c4a4O+WVQrdyF+/znQA+60If/TvSiG93oOTI2rD++9JOfmz0kp/C86W3rmqfcp0S9utYLvvWue/3rYA+72MdO9rKb/exoT7vadfhoSOqyZWhuNKI/XXWeX/g5WKZtRe1+uOBMrONDbVBAKgCG9TK4Z0fOtzTRvc/c4NnxbX8znEpllcj6neuKlznfYe6aRzUGRpTPubJBvnmo7t3kGhhAAU5ikXfA0AIBkUTsoRN60Y9bwZC/2G7jGQDXnwKfs2M7hGqP+X9LfGW5zTwF6LENCRRADK70Z9GGT/uEmx71VMeutjdXAn+UQQL6AL70hQ/66tve+BrnPinVT4IEeCMaVh1/hbjDsq0pn/PO7nPumcx+YBI4AgiMIH4zQ36XYQQc8i3qtVXjVXqexix8xFiR4Q/P9xL0wHoSMHv2cIDEpUHzx4CgZgiAAH0W8RB+tiLA8X1SdXAFcUEEsADNRwEfUQIMQA9r10QmcWw1KCQuAQMRAAA7""]",7,"На  рисунке изображена зависимость амплитуды установившихся колебаний маятника от  частоты вынуждающей силы (резонансная кривая). Отношение амплитуды установившихся колебаний  маятника на резонансной частоте к амплитуде колебаний на частоте 0,5 Гц равно","['10', '2', '5', '4']",2007,A
[],8,"Брусок массой 0,5 кг прижат к вертикальной стене силой  10 H, направленной горизонтально. Коэффициент трения скольжения между  бруском и стеной равен 0,4. Какую минимальную силу надо приложить к бруску по  вертикали, чтобы равномерно поднимать его вертикально вверх?","['9 H', '7 H', '5 H', '4 H']",2007,A
[],9,"Скорость  брошенного мяча непосредственно перед ударом о стену была вдвое больше его  скорости сразу после удара. При ударе выделилось количество теплоты, равное  15 Дж. Найдите кинетическую энергию мяча перед ударом.","['5 Дж', '15 Дж', '20 Дж', '30 Дж']",2007,A
[],10,3 моль  водорода находятся в сосуде при температуре  Т. Какова температура 3 моль кислорода в сосуде того же объема и при том  же давлении? (Водород и кислород считать идеальными газами.),"['32Т', '16Т', '2Т', 'Т']",2007,A
[],11,Внутренняя  энергия газа в запаянном несжимаемом сосуде определяется главным образом,"['движением  сосуда с газом', 'хаотическим  движением молекул газа', 'взаимодействием  молекул газа с Землей', 'действием  внешних сил на сосуд с газом']",2007,A
[],12,"При  одинаковой температуре 100°С  давление  насыщенных паров воды равно 10 5 Па, аммиака — 59 . 10 5 Па и ртути — 37 Па. В каком из  вариантов ответа эти вещества расположены в порядке убывания температуры  их кипения в открытом сосуде?","['вода > аммиак > ртуть', 'аммиак > ртуть > вода', 'вода > ртуть > аммиак', 'ртуть > вода > аммиак']",2007,A
"[""R0lGODlhEgGPAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAkABQD6AIYAgwAAAAAAAAgHBwwKCwsJCgsKCgMDAwcGBwoICQkICAYFBQUEBAcGBgkHCAECAwECAwT/EMhJqww26827/2AojmRpnmiHpWzrvnAsz1Sw0niu73wP2L6gcEh82Y7IYw1YbDqf0IBgwgQIbkiodsvF3X63AVbZLZvPIsKSor6Q0ecqfE791rN0Lj4/l9/ffE5JdoFdfm57hUWDinGENY1RgJFbh5CUTUmYeo9Um0RVlp9BBTYFG52jXmuqoJoZqa0xfqKyT7G2LZa1uaC9NLW8vz64wyWxwsY7xcohwsnNwNEsfgSE0NMwzNkahwaP2NzU4scWB7vb5Cjp6mAVCAmi4e0k7OR+BQru3fb0IP3ZDikYsI+fv1kHORAS0IbXvIQqIMK6xggVQIkVLipD98oixnUf/914gPYw5IWQJJmVNKnxV0uDJkW8tLVy5Ex/N1XVtJlTXc9NOz9MitlN4k+YRBXyILAgwAEzQZ0VK3WEAcSjGcQcmYKDaQAGp2z2GFrhypE2XQU0RYPVgoApCKJysFZVLDFeC3w0+IqAYJwdYX8YwMEgAYC4xdqqSIWYAQIdVx73CSKFx9fFrjQoQKKPhjWuk3tYC0xjgFrMrlIVQND06YxzDAIYhqM4g4AGy2yARZq6w2Ya3w4HUEDakOjOOxB8ywtLUgcxwFYgZstjwAK/rnNMtyBXFy6rM0LVTjF+wuYjknUM515e6hcFBhIQTIB2VoDH26HuOIfErwwFCqihXP9x3RlRRQJNOVUcDPlIMdyCldjSwDcGCLBge/VgmEE8s1EXkIYjFOgSZSCeJKJ9JwpVYjmWJZJDR46kqBBZeow1yI045qjjjbTt6OOPPtJmI5BEFrmiTEYm+aOQQ95FYyVPygBjGRpGKU0eMmKWpS4tHpnURH+pt+WXIXo5kphmksmefl6MqWaGVLaZ5ptg1hiem3TCaSeKeVI5Z0ZS4tnnMX96oo2gg2ZY6A+HLpromlEY6OijkArigpWUCvLnTZhmmgmiqFADqqcmjNrcOqaSSmgmqE6qKj9matTpq7ekehKhrtLq0RAAzaqrc0L04+uvta5oz7DEFksZkrkmuxj/iOkg6yywLwB4yDbSTqusfdyp2Ky2PG2A2BG42XXJjN+CG65tSdS367mwqksJjfJNMJiK3VqUrrzrigsaavBmZCu/knJwgLvvGsrevgR7uwFz+AK6cMOf0EjAvwArfAfFo5DFEAha+Xfrxhx3fAjEzwLyRbYl+ykHAdmdMAbDLbtHQQPpyYxIzbKwrO/APEeXU0VBt+JiqVMWXbHPf9CstHtM1/F0z0mzOLXRUWt8tclGbJ2U017zGnZMYI9NjNkoof1R2Wqr17ZRb18Vd0Jszy2l3TjhTU/del/at09/05H1yIHHGDXfceeItJKMN+7445BHLvnkkBdOE4+W93J0M+acd+7553hDB3ove42eywDBmS7LeUCrzq3rWMMeu+xc07607bfjjsk3BYCnuyJxEVdBBAA7""]",13,На  графике (см. рисунок) представлено изменение температуры Т вещества с течением  времени t. В начальный момент времени вещество находилось в  кристаллическом состоянии. Какая из точек соответствует окончанию процесса отвердевания?,"['5', '6', '3', '7']",2007,A
"[""R0lGODlhnACHAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAMABwCRAHoAgwAAAAAAAAsKCgkHCAMDAwcGBwUEBAsJCgoICQwKCwcGBggHBwYFBQECAwECAwECAwT/EMhJq70g4M27/2AojmRWnmiqnsJAAEVgHJ223nieBjwCJIYADcOz6Y7IZIU3QQQUm6JySsUxJ9eLtMrtirIZo6Uo9prPWLGMSEa70dlDYMDevu9V3uLHeNXteIFHPQQBBQlRZGWCjCpgHouNkiiPNZOXKQI8AiGRmJ81gJagpEqepaiUqas3p6yvkLCyI66ztli3EgdBBbm4twlke761pQt7TsWoyoyAnBIBfmeiJ8yBilrDZkbWWm2JW9hhV+LlbebfFHLP2xTdWqviFAt0146s1AcMzdBhtK+PgCCCccdGuC8AyzAg48ONGnfQKkHEJyYGmYHTlkDkFiXhpUUP/zkS8SjpoT8TKFOOIdlIkcGTKU+9wyPx48p+IymmAvkLns5S1KhNjDcTIEtfOYki5VD0jdClKpfVXNrU4VSkVac9pUpxK7GuV3Nl9eIS6s1l/sLaGrvtpdmeO9mSkttFrdijb3EqzTs0Lt++Uv/CDSw4KlC6nxDnUWzzp2DGU+zegmyKcku8eS0jkUwTJgjNg0CvONgpoeh7v7yebpUu8cbBgOe2xhQSdupw39AZzM2bXG8m8hK7FblkNiiv/LIQX8m5sJWzMp07hd5RulaQV1dTYbBQexLvVJrTNiu+MVXwg8ij17H+e/vnUMtPeh/6a3z6o6EGC4BxFn7WxuFjnZtRA8ZToIEHopUgUAsy2OBxD0IY4XgTmlfhZReWlKGGG/LToSD/fRhihyOOIl2JTA2IYnVwyEfCikldh9wOLtVo44045qjjjjz2eOOHbf0I5GJlDVnXjEYmqWQaSeqYnmEZBqBNFgsoZpKI7hgRDHuxXThEROpwaZuIml3ZZJldkhlZmiSiOWab4emlpIudwHiJJgGws2R4wWEQAQA7""]",14,На  диаграмме (см. рисунок) показан процесс изменения состояния идеального одноатомного  газа. Газ отдает 50 кДж теплоты. Работа внешних сил равна,"['0 кДж', '25 кДж', '50 кДж', '100 кДж']",2007,A
"[""R0lGODlhqwCXAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAAAAgCmAIoAgwAAAAAAAAsKCgkHCAMDAwcGBwoICQwKCwUEBAsJCgcGBggHBwYFBQkICAECAwECAwT/EMhJKw026827/2AojuSGlWiqrmzLnW4sz7Qa3HWu7/oN88CgEOQbGo9IHw7JbNaUP6d0WoJSr9gPdJntegHb6Hc8EwwIgEKAYNCEyXCar31ABBKvuF4OMwQUeXuCLVxgYheDiTY/hRaHipAdhQEIgZGXHlwJAQOWmJ8ZNwsABwxonqCpEjcGBAEFB5KqX41Ej26zXUoktai5UrsiAjcCIbe/R0UXWwptE8FayFe9B0UHDWvFKMfSQb2rXGqnVd3At8oAmwEN2+VN3+Aw1QEM7e5Jx+iG3Cb3+C+T4MnyN0TgvmX1yFVxRtAYN3Tq2Ckc4QdQQ1uZuCxYk4JfBjsB/2JdzNhh3gk/BLRNDJEAZKeRkvIxY2hPRIEErsbBDOVRzohSADYGoLlzGZOeEwa0GfanqCOkM6ACqCSBwQ2RTsG9W3bLz5aXWcE4gWElgwKVhnQWNbjjxJsKDahOEDoqK9se8aDlxQNAQdmdd/HmlRo2cA5G+sJGA/ZUscMpYgwrlvyksWOSkHlejknlEOW10zRvdkO4suXRpxmnRq019GrWnw+TZo0Iy6PYBHGbfr25tGDejnXvriC8XPGos2n7/g3c7nLZyUc/hy669/ThxK/nOu4zenDt3at/HyOzN5ny48kDvMwde/b06k2Ax9TevdHJcR7Oh1Tf/n2n+/n3TP+Ag/QnYGtrEYjcegDuoR+ACi7IIEwRSigfYBXKwI+BenB4IIJh0CPRLBlqiJkEJpEiFFigePihIdmR5WIyiXgUkIxyfTJjeBMedIAaCKBFX4kmnriPDwtg1aIiNiKGwY9r8KUjkUVyNuAJ8+R4CZVV9ohOYvxxGUNPXCiT5ZL8YUSKNX7dgSYFBlj1igHV6IJRGAgsIGSYFVjFQDFQirmYkdJE4WcFatiphaBGFOIVUXVmQSajBVXQppLxLWpcjA4+VmgUYNLi6XZiVQASpqIuGmqYYGIzVIe2hCjrrLTWauutobqiZVCKZoTrr8AGe2sGAthxlgQJNNNrTKsyqVfHBQa0ScBNXkBFaVupXEubDdsy2W2N3xYYriDajitCueYSkW5+68KBbru+wOuavMvSO6+99+Kbmb4jPLvCuyO99a+wBBds8MEID8tvQbV+0AABBLC4sEMhhnCGAHXUNTHF/pbEiQR+SLmxr74N4GY6AWiMb8MyWIUVPQu/MuAEiWqIWMwvyxNgQAuLXIjIhNw8Mow6WHVBQiPvuBFfm6g88Y7DSOTHnvzuCMAZBwgQ8dAI6mAyASMObTXX4pENBFNUm81HxyBEAAA7""]",15,"В сосуде  постоянного объема находится идеальный газ, массу которого изменяют. На диаграмме  (см. рисунок) показан процесс изменения состояния газа. В какой из точек  диаграммы масса газа наибольшая?","['A', 'B', 'C', 'D']",2007,A
[],16,"Пылинка,  имевшая отрицательный заряд –10 е, при освещении потеряла четыре  электрона. Каким стал заряд пылинки?","['6 е', '– 6 е', '14 е', '– 14 е']",2007,A
"[""R0lGODlheABzAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAAAAAB3AHEAgQAAAAAAAAEAAP///wL/hI8JwxzfHIwvxFFvprNt30kWN4LKiaYGqYWY+4ltKbM2SL+ByvP4DLzVfkJdkPjrKU/DprEYeyKd0epkiT1IqbBuzvr1HofZLHi8TZ+hYmEZ256q49ywHW2uGB57PaBTMQIRWJJBuEHoIDJxOAgY+LJo8ufHR2m51Ki5ydnp+Qnq9zZKalZ6ipqqerCz6voKe9IaS1uLOmubK7uZwtnLu6v5K6xbzGqMnIyAq9xsy+wc/QotXX1rja1Knc2d2f1dtg0+niBOfm5+Pp6u/s3ezv0Ojy0/X11vH42f37zPn+zvn7GAAnURLPgMIbiDCmMxbDgNYjyJ2R5STGXx4qmM0xpJcez45iNIUyP7lTR5EmBKlSsHtnT50mBMmTMT1qwl8uYynbRy8vzzE5ZPnkN1Fr15tGbSmUtjNn35tGXUlVNTVj15tWTWkVtBdu34VWPYi2MplpV4FmLahmsVtkX4tmBcgXP/1eV3N19ee3vn9YX3t11gdYPRBY14eFVhcovXJVb8WFtkjJOvVS7VeCEPAZd7bd4FNHI6zuX6TB5d+thjUSdIq96zOhACAbRr2xaAK7O2QyhcwzZ9uFFvBXp0Y+TdWoXx46wT+CYuGlNyFM1jFQAAOw==""]",17,"К  бесконечной горизонтальной отрицательно заряженной плоскости  привязана невесомая нить с шариком, имеющим  положительный заряд (см. рисунок). Каково условие равновесия шарика, если mg   –  модуль силы тяжести, F э – модуль  силы электростатического взаимодействия шарика с пластиной,  Т – модуль силы натяжения нити?","['– mg –  T + Fэ = 0', 'mg + T  + Fэ = 0', 'mg – T  + Fэ = 0', 'mg – T  – Fэ = 0']",2007,A
"[""R0lGODlhGAFOAHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAEAAAAVAUoAhAAAAAAAAAwKCwsKCgkHCAMDAwUEBAYFBQoICU1NTWhoaHx8fIyMjJqamrKysqenp729vdDQ0NnZ2cfHx+Hh4fDw8Onp6f///wECAwECAwECAwECAwECAwECAwECAwECAwX/ICCOZGmeaKqubOu+cCzPNBnUeK7vfO//QFhgSCwOg8ikcsls8oxQonNKrVqvsuJly+0WseCweOzTds/bLzkIXbvfwiF6zpXCe4Kh4M7v2+R0gXZ+OEeEh25EgYsXg4gxho+SJlGVllEngIyCN5NxnqAil6OXlAGbm5GhKqqriJqojK0AsLFos64luLl8tbZzrb5zCqeLu7zHvG/Cv16dI8xdFEMRxs/Kf9iH0c2N17TFiwwOAQ3W2rrf6Mvh3bff3BcVC97n6wB5AXv3YJfudJYYPajWIEA1gKRAteF3xd+/d1EWVVCwJUI5TqMYalziK96vWtwgQKiTgBOnjSjZ/7RLs/JhPWeLEkCRgPBkyptPWnq0BbIllwkPulgMCswnS5xIc3QkxdTImWgKKpxJULKozVDqkqqE2LTpuzkP6J1ZEIAozKsKtTLZ6bLmUyIU6hSJK9deWrUcjbZFxdYt2klZZQwgUECAgQM+Bhc+nESxYcQz+u59q1dWvGR9AssoMAQBAgM+OAfwDBqJaNI0JE92Vhlha29Ye+hRuU/J7BqSLThIMFGsS0U8d2K+ozly8ULHcyp93UVmgAkRKO41Y43tcDjJP6lscp0Vc2dSV3vjRj1V9kQ/umc5v3x5M9WxvH5kT4Z+C/WQ7KfWn+79926kAMgfFgOmMAB+LxxYYP+CCJrin3gQFgVYekMUAAQRFtpWIXIPRujhUY8siNd6v1gA34d8iTiFiiO+IBkRVaEoXoMNtbjifzLKSCMSmrFo43045vjhjhemMGBXSG50opAz+pjfM8UdiWRTpkyZUCZWXilKkExCSKQL6oTjCCW4cfkXOFmWgmWalvzR5Zvv2EaJMysUuKSE/a22y51xQmMmnG19aQo0mdTRCCt+0sfnWw7qGdiidPoJ6KSCSjpeoWnUYWSiY6IAqVyNTrbnn3huOSmgldLC6JyNsMbmKE1WEmtAjkJxKpyv2mroo+2cx+asuooKa61O3dplruWJiammQC5kJKl9uumop9Cuaqr/sUxWWgws8Nwgpq+dPttkqNPxOq6l2OaYKki6/OEktedKKyy806KbLorr3mJDQ8g6a2+g5tZ77b34qujttte8G0e/arjL8KgPqwKfbrwp4BvB0aaWjVYRh4tmxPLa4hx00mGccRY/3nPiEOGZXCrKKa+zcrXHKhyzKzO7fObNI+as88s8t+jzz9YGLTSXJtKcrc1GA8YljEQX3bRan0YN29Q9K211qlgrpHXUXHfttGsdU8q02H4w0zFwuJ6Ndi9GVc2S2W8npfbXL7VdN1J3e4l3invj1HeTdAeeUoDArq2m4UoOS6ziizNONd5hS/623Fdbrnkcfm/uOZiKfy66BXdraxQCADs=""]",18,Через  участок цепи (см. рисунок) течет постоянный ток I = 10 А.  Какую силу тока показывает амперметр? Сопротивлением амперметра пренебречь.,"['2 А', '3 А', '5 А', '10 А']",2007,А
[],19,"В  электронагревателе, через который течет постоянный ток, за время t выделяется  количество теплоты Q. Если сопротивление нагревателя и время t  увеличить вдвое, не изменяя силу тока, то количество выделившейся теплоты будет  равно","['8Q', '4Q', '2Q', 'Q']",2007,A
"[""R0lGODlhpwA4AHcAMSH+GlNvZnR3YXJlOiBNaWNyb3NvZnQgT2ZmaWNlACH5BAEAAAAALAUABACgADEAgQAAAAAAAP///wECAwL/hI+pyxcPo5y02ouz3jy0DzJeSJbGaKbqKrIs6sZPTNcLbIN4Xkb8r9oBE8IhAjUxKltL4rIjaTaLRuoLipECrVueRQAOi8EbbY37Q4co4/ZY0qaYV2qvbOLO6/Xy+doPUHcTsVdoGOcD2CB45kJ4CBlJBqGowEhz6QAhyQmZWBnol3ny0GnqOVM56ngVcPpqSAm4+tIKe7sna0ZLZ4v766YrxZsyugmM/JY6JeromgwdtqxEXHwVjT35NOucjT2dxt3tDQ2eU23CW0qebG6DTqL+zI7sjtl8Nk+Pa8+Kj6lvH6x+vf4BFPiLoDWDBxHeUthDnJeADiVBjDgHniaKfhVjXfzD8Ny6joeEyZA45BjJXB91oKwyciUidBpBDospcxLNl1NUrvzUKGRPnA6B3hOqBY7AKHaQ7sKTrc85nqDYAJPaNCOoD18sVqBGdaslLBeGhRW7CIvTKmjbhlvrNm68s3LrcqVrN68TvHr71nTZNzCTjGQLGz6MuAygAgA7""]",20,"На  рисунке изображен проволочный виток, по которому течет электрический ток в  направлении, указанном стрелкой. Виток расположен в горизонтальной плоскости. В  центре витка вектор индукции магнитного поля тока направлен","['вертикально  вверх', 'горизонтально  влево', 'горизонтально  вправо', 'вертикально  вниз']",2007,A
[],21,Инфракрасное излучение испускают,"['электроны при их направленном  движении в проводнике', 'атомные ядра при их превращениях', 'любые заряженные частицы', 'любые нагретые тела']",2007,A
